,hsa.miR.200b.3p,hsa.miR.200a.5p,hsa.miR.1976,hsa.miR.197.3p,hsa.miR.942.3p,hsa.miR.556.3p,hsa.miR.1295a,hsa.miR.181b.5p,hsa.miR.181b.3p,hsa.miR.181a.3p,hsa.miR.135b.5p,hsa.miR.135b.3p,hsa.miR.29c.5p,hsa.miR.29c.3p,hsa.miR.29b.2.5p,hsa.miR.215.3p,hsa.miR.194.5p,hsa.miR.4677.3p,hsa.miR.605.5p,hsa.miR.107,hsa.miR.6507.5p,hsa.miR.146b.5p,hsa.miR.1307.5p,hsa.miR.202.5p,hsa.miR.192.5p,hsa.miR.194.3p,hsa.miR.139.5p,hsa.miR.139.3p,hsa.miR.326,hsa.miR.708.3p,hsa.miR.6755.5p,hsa.miR.1304.5p,hsa.miR.141.5p,hsa.miR.196a.5p,hsa.miR.148b.5p,hsa.let.7i.3p,hsa.miR.3613.5p,hsa.miR.16.5p,hsa.miR.16.1.3p,hsa.miR.15a.5p,hsa.miR.17.5p,hsa.miR.17.3p,hsa.miR.18a.5p,hsa.miR.19a.3p,hsa.miR.20a.5p,hsa.miR.19b.1.5p,hsa.miR.92a.1.5p,hsa.miR.5586.5p,hsa.miR.3173.5p,hsa.miR.345.3p,hsa.miR.628.3p,hsa.miR.629.5p,hsa.miR.6511b.3p,hsa.miR.365a.3p,hsa.miR.484,hsa.miR.328.3p,hsa.miR.195.5p,hsa.miR.195.3p,hsa.miR.497.5p,hsa.miR.4521,hsa.miR.744.3p,hsa.miR.451a,hsa.miR.144.5p,hsa.miR.144.3p,hsa.miR.4732.3p,hsa.miR.193a.5p,hsa.miR.365b.3p,hsa.miR.6510.3p,hsa.miR.454.3p,hsa.miR.301a.3p,hsa.miR.21.5p,hsa.miR.21.3p,hsa.miR.3615,hsa.miR.133a.3p,hsa.miR.133a.5p,hsa.miR.1.3p,hsa.miR.3940.3p,hsa.miR.639,hsa.miR.642a.5p,hsa.miR.769.5p,hsa.let.7e.3p,hsa.miR.125a.5p,hsa.miR.1301.3p,hsa.miR.548ba,hsa.miR.3682.3p,hsa.miR.5000.3p,hsa.miR.128.3p,hsa.miR.4444,hsa.miR.1258,hsa.miR.153.3p,hsa.miR.149.5p,hsa.miR.103a.3p,hsa.miR.548o.3p,hsa.miR.802,hsa.miR.185.5p,hsa.miR.1306.5p,hsa.miR.301b.3p,hsa.miR.301b.5p,hsa.miR.130b.3p,hsa.miR.3199,hsa.miR.885.5p,hsa.miR.26a.1.3p,hsa.miR.425.5p,hsa.miR.191.5p,hsa.miR.16.2.3p,hsa.miR.551b.3p,hsa.miR.378d,hsa.miR.95.3p,hsa.miR.574.3p,hsa.miR.576.5p,hsa.miR.577,hsa.miR.4454,hsa.miR.887.5p,hsa.miR.581,hsa.miR.143.3p,hsa.miR.145.5p,hsa.miR.145.3p,hsa.miR.378a.5p,hsa.miR.6720.3p,hsa.miR.5683,hsa.miR.219a.5p,hsa.miR.133b,hsa.miR.30c.2.3p,hsa.miR.30a.5p,hsa.miR.30a.3p,hsa.miR.3662,hsa.miR.339.5p,hsa.miR.196b.5p,hsa.miR.550a.5p,hsa.miR.590.5p,hsa.miR.590.3p,hsa.miR.93.5p,hsa.miR.106b.5p,hsa.miR.182.5p,hsa.miR.96.5p,hsa.miR.183.5p,hsa.miR.183.3p,hsa.miR.335.5p,hsa.miR.335.3p,hsa.miR.29a.5p,hsa.miR.29b.1.5p,hsa.miR.490.5p,hsa.miR.490.3p,hsa.miR.671.5p,hsa.miR.671.3p,hsa.miR.3622a.3p,hsa.miR.486.5p,hsa.miR.4661.5p,hsa.miR.7705,hsa.miR.151a.5p,hsa.miR.151a.3p,hsa.miR.491.5p,hsa.miR.204.5p,hsa.let.7f.1.3p,hsa.let.7d.5p,hsa.let.7d.3p,hsa.miR.6854.5p,hsa.miR.32.3p,hsa.miR.181b.2.3p,hsa.miR.4770,hsa.miR.222.5p,hsa.miR.532.5p,hsa.miR.188.5p,hsa.miR.500a.3p,hsa.miR.501.3p,hsa.miR.500b.3p,hsa.miR.502.5p,hsa.miR.98.5p,hsa.miR.98.3p,hsa.miR.421,hsa.miR.374b.3p,hsa.miR.766.3p,hsa.miR.106a.5p,hsa.miR.542.3p,hsa.miR.503.5p,hsa.miR.504.5p,hsa.miR.224.5p,hsa.miR.452.3p
TCGA.AA.A02Y.01A,3542,3382,12,263,1,2,1,66,8,40,576,8,43,707,17,29,30520,6,0,50,0,418,309,0,138550,810,11,5,1,17,0,0,936,468,3,31,34,1354,3,139,1116,193,25,154,459,8,9,1,0,0,1,110,0,25,58,7,27,0,14,1,17,355,89,11,0,170,25,0,8,9,164178,5915,6,4,0,15,0,1,6,4,0,101,4,0,0,2,116,1,1,5,5,12516,1,0,96,6,0,3,27,0,0,25,449,1069,17,1,1,78,65,21,167,0,0,1,21961,881,26,80,0,0,0,0,3,2379,549,1,50,3533,8,33,10,6410,349,21993,26,12748,5,30,320,16,20,0,0,5,8,0,53,5,0,113,1812,1,0,5,260,596,3,2,3,0,22,3069,7,1444,166,1,1,50,4,5,11,4,90,38,5,2,172,28
TCGA.AA.A03F.01A,4659,3687,8,480,2,3,0,160,36,170,168,3,63,1863,20,120,54658,9,3,76,1,454,568,0,240785,795,27,1,7,44,0,1,1277,666,8,60,47,1301,1,183,1189,263,49,101,537,20,9,3,1,1,0,159,3,26,116,24,43,4,25,3,49,568,151,18,2,102,26,0,8,12,248997,4721,5,36,0,51,0,0,27,24,7,261,4,0,1,1,139,1,0,0,23,15488,2,0,61,11,1,2,26,0,0,29,476,1785,25,3,2,44,152,52,1060,0,0,2,57819,3906,89,227,1,0,5,5,4,6982,1546,2,26,1792,6,43,15,6675,345,43151,61,20819,3,19,189,14,19,0,0,10,6,0,85,8,0,136,2120,5,2,4,272,669,2,3,2,0,25,1561,3,758,79,2,1,57,2,2,4,12,79,224,5,1,96,10
TCGA.AA.A03J.01A,2339,2233,10,338,2,0,0,255,30,172,478,6,31,1195,13,25,18580,13,0,71,0,1182,522,0,82906,448,28,8,5,104,0,2,804,383,5,134,41,1976,6,206,1696,302,77,215,810,20,35,2,0,0,1,164,1,41,194,26,72,2,22,1,26,377,47,7,2,128,41,0,8,6,303576,9315,5,21,0,84,2,0,8,24,7,325,17,0,1,2,123,3,1,10,14,10446,1,0,100,10,0,2,48,0,1,25,1694,1474,20,3,2,78,75,26,82,1,1,1,103824,5860,109,170,2,5,0,2,9,5679,1645,0,104,5839,10,48,12,7750,801,13196,25,6311,2,41,282,41,19,0,0,10,5,0,46,5,0,126,2335,1,0,3,294,413,0,0,4,0,33,1725,13,637,107,2,0,50,2,1,2,13,146,257,24,0,142,37
TCGA.AD.5900.01A,5808,6285,50,805,6,3,0,1247,65,639,365,16,50,12680,49,3,57846,31,0,427,0,5410,844,1,135164,1164,225,102,22,230,6,3,6179,548,12,416,41,1944,7,484,1666,2096,77,68,1027,39,19,10,7,2,2,521,12,200,223,42,340,18,61,2,43,2053,352,32,3,562,200,1,19,13,1521425,22238,15,481,2,819,3,2,10,89,36,1603,21,0,8,5,591,4,5,30,54,96819,3,0,273,19,4,1,91,1,0,10,884,1911,50,1,4,27,272,28,102,3,1,0,3233259,33695,1007,680,1,28,1,127,83,28383,11737,3,114,1670,30,38,25,19656,1451,51546,45,20706,4,86,686,27,23,7,112,11,6,0,315,5,6,311,15343,3,7,25,865,1804,9,4,1,4,42,3039,19,913,181,13,9,249,8,13,21,41,45,889,20,4,126,22
TCGA.AD.6888.01A,9054,4838,54,1338,3,4,1,597,48,348,449,11,52,6906,45,43,69782,11,0,269,1,886,736,0,227849,816,29,5,15,27,1,3,2029,2166,7,200,30,1404,13,416,5354,2720,267,438,3603,48,24,2,2,1,18,466,4,89,222,53,66,6,60,0,48,2908,232,44,1,412,89,4,18,20,568946,11090,13,50,0,63,0,0,8,100,13,522,30,0,4,12,647,4,0,61,392,44214,5,0,315,34,5,3,133,0,0,0,1856,2192,50,3,3,62,179,24,235,4,1,0,245048,5856,85,660,1,0,3,6,15,11581,2190,12,525,10376,10,78,19,26118,1237,36629,106,22976,11,75,759,51,40,0,0,24,3,0,432,55,4,380,7610,4,5,8,456,1137,1,4,1,0,33,9133,68,1909,297,9,24,180,2,18,7,46,50,159,8,1,705,85
TCGA.AD.6889.01A,18041,11728,26,1223,3,3,1,840,25,300,388,26,37,1817,52,63,178681,28,0,656,1,901,1773,1,241307,1735,36,6,19,87,5,8,5328,780,7,106,9,1470,34,761,7262,6170,146,331,5638,82,17,5,3,1,3,472,6,79,246,26,33,6,36,0,79,1939,562,49,4,553,79,4,31,40,1329107,20147,12,10,0,34,4,4,7,71,16,1317,41,0,4,6,1550,3,0,8,29,115703,2,0,424,22,10,4,106,1,0,5,1059,2159,26,2,7,8,335,64,1075,0,0,1,296258,3013,65,683,0,4,15,2,15,6763,1380,0,75,4285,16,69,26,55474,2123,70564,94,40542,9,48,570,40,25,0,0,37,18,0,822,37,4,487,13087,9,8,9,1023,1816,1,9,7,0,64,5861,15,1027,224,14,4,271,5,24,8,22,77,509,35,1,163,15
TCGA.AD.6890.01A,4763,4886,25,979,6,4,0,566,18,319,14,0,34,2780,16,9,53682,21,0,291,0,1645,1049,1,191506,1006,51,8,22,242,1,4,2903,1906,5,234,23,1143,29,499,3417,1985,93,187,2375,63,30,3,3,2,4,556,6,78,231,64,36,5,30,1,14,1295,160,14,0,433,78,1,19,8,1026011,32345,26,29,0,59,3,4,9,70,26,832,19,0,4,4,714,3,0,3,58,50260,0,0,260,10,1,3,64,1,0,4,1026,2317,28,3,2,16,221,45,65,5,0,4,325821,6862,151,489,5,1,4,4,28,13513,3678,9,270,23440,20,55,12,34850,1148,28544,50,15608,6,47,910,54,71,0,0,14,15,0,208,9,3,232,5548,3,4,9,387,934,2,3,11,1,44,3260,10,922,139,3,5,100,2,8,12,25,25,460,30,1,192,15
TCGA.AD.6895.01A,4810,4196,27,428,2,2,0,750,45,725,136,35,32,4449,35,0,34512,17,1,368,1,2639,772,2,89531,1127,210,89,10,156,3,4,3410,243,4,160,19,705,24,429,1344,1942,72,125,1239,46,19,4,2,0,2,497,1,62,138,28,81,14,86,1,17,965,171,11,1,623,62,1,12,7,1227602,19776,12,193,1,392,6,3,8,61,19,803,14,0,2,2,628,4,0,8,34,42315,3,0,360,13,0,0,44,4,0,4,367,695,25,1,1,17,194,20,115,1,0,0,1190939,14958,331,374,0,5,5,41,54,17783,4194,0,70,1606,6,27,15,14359,702,12420,23,5261,1,9,121,19,52,0,37,23,19,2,343,2,6,189,9443,1,4,14,490,627,6,1,2,0,64,2429,12,352,67,2,4,156,1,3,5,11,43,467,13,1,137,7
TCGA.AD.6899.01A,8495,5297,38,911,3,0,3,1246,30,419,100,4,77,4959,74,5,94606,12,2,358,1,1529,950,1,277006,739,38,10,23,189,2,1,1573,1219,4,207,19,1476,17,537,2644,2279,49,117,1778,41,15,3,1,2,3,251,3,49,193,59,47,6,31,1,68,588,311,18,1,800,49,2,20,18,1089223,8958,11,101,2,115,0,3,15,45,21,1057,15,0,3,3,563,5,4,3,45,78064,3,0,201,22,0,1,44,3,0,2,1164,1713,6,2,15,24,234,19,329,2,0,2,819726,9714,179,1110,0,1,3,21,32,15634,3630,1,72,37843,17,37,2,17367,601,36183,39,14568,3,17,769,41,20,0,39,5,7,1,497,17,8,271,11223,11,10,10,765,1561,2,1,11,1,13,10979,23,1188,143,6,3,174,4,12,6,14,27,735,113,1,400,14
TCGA.AD.6963.01A,5673,4439,49,1224,6,2,3,652,39,645,112,16,50,7642,41,2,36102,21,0,338,1,3293,1832,0,128988,1018,91,40,17,302,5,9,2672,27,6,711,98,2231,43,846,4902,3406,309,414,3039,81,32,5,2,0,22,647,5,90,338,71,56,2,42,2,36,2810,426,65,1,797,90,0,12,21,1230932,27179,18,23,0,43,1,1,3,65,24,862,35,0,4,3,925,3,1,22,33,46080,5,0,338,23,1,1,104,0,0,2,1714,1973,34,2,2,57,228,32,64,1,0,1,412358,7542,131,506,2,2,3,3,26,14413,3448,1,343,5723,28,124,37,25524,1214,12342,30,8534,0,43,510,58,65,0,1,22,19,0,646,9,4,219,8171,2,3,10,583,1205,7,7,1,0,59,5703,46,1089,158,10,6,241,5,15,7,33,68,709,10,2,466,64
TCGA.AD.6964.01A,31184,18306,80,2343,7,3,3,1778,108,1212,145,2,104,18074,120,1,111126,51,1,635,0,6851,3889,8,245851,938,78,19,36,873,4,13,4179,1005,22,673,78,2740,36,1173,6190,4683,314,371,4387,86,27,14,5,1,32,776,4,143,349,87,285,46,218,3,85,215,27,3,0,751,143,0,66,62,2950725,13943,15,39,1,87,2,1,9,108,51,1700,76,3,6,12,1219,5,4,7,55,120047,4,0,640,31,10,1,162,3,0,4,2001,5035,69,5,4,42,819,62,109,3,2,1,572637,13214,244,862,2,13,6,6,42,18520,4207,0,203,4455,22,128,49,43737,2489,35687,80,20074,5,110,621,64,42,0,0,38,9,0,52,26,4,448,11127,4,21,15,1113,1329,7,5,4,0,21,5402,37,1233,203,9,6,298,6,17,24,43,115,1202,43,4,113,27
TCGA.AD.6965.01A,7553,9737,35,1128,3,3,1,1547,46,427,120,9,44,2165,44,97,105957,15,1,608,0,1038,2289,0,251089,1517,71,19,21,338,5,9,4819,1725,6,120,52,1840,47,885,7321,4446,175,328,4718,112,44,3,1,9,2,587,8,51,234,55,50,6,28,1,98,500,135,8,0,512,51,1,32,37,1173437,18729,32,29,0,72,4,2,9,76,28,912,34,0,4,17,835,4,3,2,64,71140,3,0,251,20,4,8,102,2,0,9,1117,1848,31,6,4,61,123,51,300,1,0,5,440869,7639,148,600,1,0,7,4,47,18743,4663,3,84,23113,25,63,21,48122,1456,72785,83,46918,8,28,1538,66,81,0,4,15,14,0,109,23,4,494,17039,7,5,8,765,1566,4,5,7,0,25,7737,23,1345,222,6,4,204,4,18,14,25,50,1967,148,1,847,74
TCGA.AD.A5EJ.01A,13101,10675,42,1392,14,5,1,1626,89,876,477,12,79,3679,84,57,65206,52,2,260,0,2572,1598,0,194123,1496,55,4,8,124,2,5,2751,925,15,215,57,1668,29,1075,7106,2992,397,632,5075,94,40,1,1,3,5,625,14,121,199,16,24,1,16,2,47,537,62,5,0,280,121,2,65,42,1293398,25217,10,35,0,41,3,0,19,46,11,917,13,0,0,9,414,3,0,27,53,101011,2,0,287,51,3,2,127,3,0,5,1696,3432,40,0,1,39,643,49,294,2,1,1,158315,7599,148,543,0,12,8,2,16,8774,1416,9,177,5147,35,95,30,59811,1555,109221,157,49063,9,28,376,24,41,0,0,38,6,0,150,5,12,478,4487,3,2,15,903,1567,8,4,17,0,80,3920,10,2013,308,5,12,195,7,16,10,23,30,518,22,0,482,64
TCGA.AD.A5EK.01A,12553,6120,20,856,3,3,1,1120,24,550,224,5,42,1552,31,9,70974,24,3,211,3,1571,849,0,194491,751,96,11,4,234,0,4,2652,139,9,81,100,1640,36,1013,9109,4217,200,755,9293,128,94,6,0,4,1,393,3,150,122,32,60,8,37,2,25,1755,328,15,0,204,149,0,64,17,1095778,17345,14,126,1,294,1,1,1,57,23,1022,18,0,3,12,445,4,0,25,50,116528,5,0,182,25,3,0,93,0,0,2,1858,3292,43,2,1,96,163,79,96,0,0,2,149452,8008,120,501,2,4,5,3,38,21224,3291,30,336,5312,28,86,19,94199,2054,139814,191,40131,13,131,1661,115,90,0,2,30,10,0,239,135,7,462,5630,9,568,7,887,1441,6,7,10,0,20,6316,15,2576,202,7,2,108,3,12,13,24,48,1542,71,4,1271,32
TCGA.AG.3882.01A,1760,1493,10,373,4,5,0,70,21,74,329,6,33,949,17,4,30466,17,4,30,0,556,1579,1,229317,266,25,0,5,50,1,0,682,82,5,88,74,1788,5,162,1955,474,50,373,800,46,14,1,0,3,2,153,0,10,95,34,27,1,20,1,51,274,140,15,0,74,9,0,9,9,285672,3605,8,9,2,26,0,3,9,35,11,237,6,0,0,6,69,6,1,15,17,5112,3,0,39,9,1,1,30,0,0,26,699,744,8,4,1,94,29,37,157,0,0,1,90987,2432,57,78,2,2,0,1,7,5247,922,0,29,17417,13,69,11,4210,466,8692,18,3502,0,25,380,13,13,0,0,4,5,0,67,1,0,90,1658,2,9,3,201,266,0,1,6,0,22,2176,5,397,40,3,1,57,1,1,8,9,167,95,3,1,152,23
TCGA.AG.4008.01A,3765,1871,6,414,1,0,0,154,38,221,563,10,51,1817,23,19,25326,13,4,76,0,1090,653,0,118858,175,40,8,2,96,0,0,803,353,9,172,34,2112,6,247,2033,426,96,247,1034,32,19,2,3,2,4,82,1,81,126,18,88,4,33,0,23,989,115,27,0,156,81,0,21,20,467352,5043,5,60,1,194,1,0,3,32,15,397,9,1,2,4,130,1,1,14,55,14985,2,0,70,4,4,1,48,0,0,20,3079,1556,17,1,0,127,65,24,71,4,1,1,234541,8772,131,148,1,1,6,9,5,12425,2668,1,72,1017,16,44,20,5951,582,13640,23,5103,1,61,216,41,31,0,8,9,3,0,65,23,3,118,2201,1,6,6,543,524,1,2,3,0,41,2373,18,670,104,0,2,124,3,15,16,10,162,272,53,1,217,34
TCGA.AG.4015.01A,6828,3565,6,887,11,8,0,478,66,350,744,1,62,1059,26,11,57669,20,6,112,0,512,1211,0,288638,324,25,1,1,57,2,2,1138,1630,17,68,50,3699,11,516,3981,625,105,350,1434,26,11,4,3,2,1,233,2,70,150,43,45,4,40,0,121,445,143,16,0,87,70,0,42,43,499038,6773,12,18,1,61,0,0,4,104,17,378,14,1,7,2,224,3,1,6,9,25861,6,0,148,17,7,5,78,1,0,17,1818,3391,27,1,4,77,73,80,390,0,0,5,116280,2765,68,189,0,1,8,3,0,8078,1904,3,164,16010,41,84,31,14951,1027,28858,38,15618,3,50,707,27,34,0,1,5,3,0,68,13,2,385,5811,5,12,10,779,1080,2,3,5,0,21,5390,32,1464,316,1,3,114,3,17,7,16,283,250,148,0,491,46
TCGA.AM.5820.01A,5581,6182,33,752,4,1,0,487,20,151,86,2,46,2467,63,2,101703,15,1,253,0,1780,877,0,254604,1624,228,44,6,68,5,9,2228,3280,13,68,9,755,9,351,3500,1548,43,93,1922,28,25,2,1,1,2,496,8,262,93,43,86,11,49,2,39,825,217,8,0,1615,262,1,24,21,772783,7269,8,459,4,1837,4,0,0,51,18,1078,28,0,4,6,602,4,2,4,34,121624,4,0,364,17,3,2,68,2,0,2,393,955,11,0,6,23,282,22,213,0,1,8,1779034,26129,449,350,6,4,1,83,100,20590,8425,1,137,2275,7,33,8,22971,824,100984,65,57731,2,93,1611,35,85,4,152,10,1,0,254,16,3,374,12142,2,7,1,690,1781,0,2,4,1,88,5029,6,1898,307,8,4,333,1,51,23,28,70,514,10,1,166,9
TCGA.AM.5821.01A,2042,3354,18,382,4,0,0,720,54,411,274,2,8,1865,20,2,9649,23,2,134,0,2576,456,0,26913,186,23,16,4,76,3,7,3178,154,5,130,11,928,9,331,980,883,27,29,679,17,15,1,0,0,1,802,1,77,100,8,34,1,10,3,20,855,386,15,0,736,77,2,7,6,608989,15368,4,7,2,15,1,0,4,29,3,434,9,0,4,5,287,2,0,29,7,60108,3,0,216,11,1,1,45,0,0,3,964,981,16,0,0,13,55,38,13,0,0,0,266947,1200,47,93,1,4,2,0,33,9553,5105,6,25,982,15,28,9,8530,414,77622,50,38052,1,13,210,18,46,0,0,16,5,0,371,37,10,184,7814,1,0,3,353,475,3,1,1,0,119,829,3,327,69,4,0,154,2,5,5,7,8,510,7,0,155,6
TCGA.AU.3779.01A,9149,6994,33,621,2,1,0,1218,33,462,299,8,33,3458,36,0,110013,28,0,318,1,2540,1360,0,237900,1066,39,4,6,240,4,1,2544,4299,9,92,28,1633,15,639,3986,2712,63,92,2785,39,23,22,0,0,2,613,1,113,105,38,81,5,19,2,28,262,192,14,1,461,113,0,38,26,1284897,7124,13,10,0,90,0,2,9,47,2,1131,17,0,7,10,776,9,3,5,45,137120,11,0,338,6,9,1,50,3,0,4,1222,2055,15,1,1,50,150,42,111,0,1,3,421438,2830,103,304,4,1,2,0,40,12997,4675,1,43,41655,29,24,30,20665,745,66044,35,30800,1,80,876,17,34,0,2,13,6,0,138,23,5,359,13845,4,1,2,618,838,5,2,4,0,43,6396,8,1392,228,5,7,289,2,15,11,15,39,3695,42,1,517,29
TCGA.AU.6004.01A,5251,6180,29,410,1,0,0,356,10,193,52,1,16,2589,22,13,65090,9,2,161,0,4182,438,2,129219,1005,48,20,15,123,1,3,1947,542,3,84,18,738,4,359,1313,1497,29,61,1011,19,7,4,2,1,0,474,3,83,98,22,52,5,15,0,18,171,112,4,0,842,83,0,10,10,845669,9248,8,66,3,121,1,1,3,32,22,704,7,0,1,3,258,2,0,2,6,67061,2,0,181,13,4,0,39,0,0,2,454,803,13,0,1,6,115,21,27,0,0,0,775087,6567,184,281,4,4,0,12,44,13925,5717,6,16,989,8,17,18,12203,458,32959,21,12019,0,28,462,14,16,1,19,7,6,0,157,7,1,201,10141,2,1,12,377,782,6,1,3,1,62,1525,8,509,136,5,0,112,2,6,5,9,21,531,11,2,157,11
TCGA.AY.4070.01A,2456,929,11,662,1,2,0,711,29,140,362,6,26,1397,27,17,41732,9,0,94,0,969,1067,0,178418,258,53,1,11,35,7,0,264,422,10,87,26,1454,3,181,4785,691,222,424,1605,12,9,0,2,1,3,128,12,199,211,27,38,2,34,1,51,907,177,18,1,165,199,0,18,40,234499,2171,7,29,0,49,1,0,13,65,26,891,91,0,3,3,181,4,0,2,248,28315,2,0,117,19,3,5,45,1,0,6,1442,1985,16,3,0,4,119,31,406,0,0,4,62518,3913,66,103,1,1,1,5,7,8976,1593,2,49,6104,8,57,22,26486,1480,40407,54,38151,6,57,416,15,9,0,0,14,1,0,184,10,1,347,4837,2,1,3,193,393,2,1,2,0,8,2157,10,1207,453,5,2,56,1,6,1,26,252,236,95,1,179,41
TCGA.AY.4071.01A,8508,3428,21,568,3,1,0,163,41,158,338,5,58,1679,31,6,62083,17,4,146,0,1519,655,0,258751,398,25,2,2,120,0,1,943,378,4,121,39,2754,7,373,2341,434,55,295,1110,46,8,3,1,1,1,167,3,37,207,13,65,2,39,1,26,722,154,7,0,73,37,0,17,33,556562,10437,5,54,0,120,0,0,18,31,11,345,15,0,2,8,150,2,0,16,18,30964,1,0,181,8,1,0,37,1,0,26,2639,2146,11,4,2,77,82,30,230,1,0,3,122741,5408,60,213,1,0,9,5,6,9142,1707,2,161,24877,22,44,24,11498,644,51734,97,16468,2,78,328,31,24,0,0,10,2,0,102,16,4,211,3836,7,2,5,555,535,2,2,5,0,25,4571,8,1439,188,1,3,110,1,4,19,12,134,331,66,0,273,34
TCGA.AY.5543.01A,11699,13797,40,653,15,1,4,910,37,268,302,11,38,5183,40,3,86342,16,1,406,0,1627,1149,0,183009,1783,31,21,17,76,4,3,3451,2741,10,139,53,2539,18,778,3414,1895,49,59,2525,27,28,10,0,2,1,385,10,112,205,17,126,5,24,1,25,3419,1060,54,2,820,112,3,22,11,789385,12950,26,17,0,37,3,4,10,60,7,419,12,0,7,10,388,9,0,2,21,120427,3,0,195,4,7,0,80,2,3,7,2001,3215,29,0,3,16,86,55,78,0,0,1,313811,2218,64,1521,1,1,0,3,43,11810,3978,6,122,12848,22,38,18,21864,1186,77194,110,35274,0,59,906,27,29,0,1,9,6,0,785,4,4,295,10511,5,0,11,444,790,3,3,1,0,61,4049,24,1170,72,3,3,167,0,13,13,19,61,447,7,0,172,16
TCGA.AY.6197.01A,11087,14431,26,618,5,0,1,209,13,95,19,2,12,1601,20,47,112830,12,2,198,0,1146,451,0,242486,2174,11,16,18,30,2,7,4764,266,7,80,39,1603,20,427,2059,1969,59,91,1681,56,26,8,1,2,0,368,3,42,165,11,42,1,11,1,19,7800,1950,199,8,522,42,0,14,8,595187,20755,8,10,0,19,8,0,8,30,7,190,9,0,3,2,346,2,0,6,4,50848,3,0,215,18,0,3,41,1,0,1,890,1303,33,0,1,30,69,34,35,0,0,1,238466,1231,31,742,0,4,1,1,25,5900,2154,1,17,266,15,19,19,12638,781,40342,45,17376,2,25,371,10,15,0,0,15,4,0,1339,11,4,266,11595,0,1,5,398,1184,3,1,1,0,43,1267,5,489,68,2,3,102,4,7,2,6,39,375,9,0,102,8
TCGA.AY.6386.01A,8644,7570,26,656,3,2,0,481,22,284,38,3,17,2765,19,9,36992,20,0,199,0,1382,599,0,104852,781,47,15,11,186,2,7,1987,878,9,80,40,1409,16,392,1473,993,54,76,889,25,13,7,0,1,0,310,2,64,188,20,66,5,27,0,42,613,132,13,0,606,64,0,16,10,555306,9019,12,24,1,45,0,4,2,47,16,325,13,0,4,2,461,5,0,1,26,69189,1,0,230,18,2,2,69,0,0,4,967,2101,26,1,1,55,199,19,43,1,0,3,407503,3264,102,422,3,1,3,0,29,11066,4581,9,105,4183,14,36,17,20091,941,74549,70,49771,11,48,582,20,19,0,0,22,12,0,111,10,1,166,7224,6,2,6,410,999,1,6,1,2,26,1902,9,939,168,5,1,126,0,13,10,14,24,551,3,0,72,9
TCGA.AY.A71X.01A,32509,23677,81,2433,3,7,3,1679,18,408,1035,22,239,6355,211,55,181336,48,1,471,0,1319,2984,2,634077,2724,109,16,5,74,0,2,5658,1766,26,154,68,3498,30,1187,7070,2573,121,362,4911,94,43,5,5,0,7,728,16,166,206,138,75,6,63,2,206,1759,495,51,1,1503,166,0,75,59,1173335,15575,21,81,0,142,3,5,35,115,11,1368,25,0,6,7,1055,5,0,32,31,158600,2,0,397,69,15,15,153,1,0,15,1692,6980,85,2,4,56,932,129,703,1,0,3,179250,8005,136,434,0,11,18,0,36,18145,3146,3,200,20963,32,85,11,60067,1773,155988,232,63965,8,61,1390,114,91,0,4,41,15,0,687,25,13,806,8452,14,20,26,1674,4396,9,9,58,0,134,15622,13,3765,346,18,13,225,10,15,28,48,105,268,7,2,936,48
TCGA.AY.A8YK.01A,22125,7758,28,1071,2,0,0,736,18,408,272,5,65,4178,54,32,117739,24,6,236,1,1748,462,0,355953,1674,170,23,5,87,2,2,2902,1749,16,221,102,2621,47,1376,12128,3261,215,668,10643,131,58,4,9,1,25,589,7,110,403,62,106,12,81,3,40,5407,290,30,0,273,110,1,75,38,930501,11507,33,160,1,126,1,1,21,45,25,1466,25,0,3,4,377,6,0,13,109,75038,1,0,298,26,4,0,162,0,0,6,2568,4177,53,2,3,322,294,94,125,1,1,2,225177,13050,162,888,2,3,2,3,50,15877,2638,7,736,20122,30,68,21,44373,1196,30038,127,13350,5,155,1011,33,45,0,5,31,8,0,876,11,6,488,4432,3,11,12,795,1275,6,6,6,0,39,10210,58,2261,215,7,22,194,3,12,15,12,69,715,18,2,994,33
TCGA.AZ.4308.01A,1936,1858,7,162,2,1,0,163,25,147,141,3,15,473,24,3,26211,10,1,81,0,966,631,0,89664,143,22,3,0,149,0,0,890,422,3,71,13,1146,4,219,2550,590,57,120,1297,21,19,0,0,0,0,109,1,41,60,12,25,2,6,0,12,147,51,1,0,87,41,1,9,9,470447,3984,1,21,1,123,0,0,5,24,1,321,3,0,1,3,61,2,0,7,15,16023,0,0,50,5,0,1,22,0,0,18,1168,980,6,1,0,34,37,23,64,0,1,2,217470,3684,96,94,0,10,3,1,10,12427,1851,1,4,7239,7,27,10,9113,465,9171,13,4208,0,23,160,25,11,0,6,9,3,0,26,7,2,112,2552,1,0,4,339,219,3,1,2,0,16,2817,6,523,47,6,0,99,2,2,5,6,115,357,24,1,120,28
